#ies_format_version: 1.0
#file: 20250714_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250714;	123656;	1752476816.000;	           0
20250714;	123700;	1752476820.000;	         102
20250714;	123704;	1752476824.000;	         103
20250714;	123708;	1752476828.000;	         103
20250714;	123712;	1752476832.000;	         104
20250714;	123716;	1752476836.000;	         105
20250714;	123720;	1752476840.000;	         106
20250714;	123724;	1752476844.000;	       err17
20250714;	123728;	1752476848.000;	       err17
20250714;	123732;	1752476852.000;	       err17
20250714;	123736;	1752476856.000;	       err32
20250714;	123740;	1752476860.000;	       err32
20250714;	123744;	1752476864.000;	       err32
20250714;	123748;	1752476868.000;	       err32
20250714;	123752;	1752476872.000;	       err32
20250714;	123756;	1752476876.000;	       err32
20250714;	123800;	1752476880.000;	       err32
20250714;	123804;	1752476884.000;	       err32
20250714;	123808;	1752476888.000;	       err32
20250714;	123812;	1752476892.000;	       err32
20250714;	123816;	1752476896.000;	       err32
20250714;	123820;	1752476900.000;	       err32
20250714;	123824;	1752476904.000;	       err32
20250714;	123828;	1752476908.000;	       err32
20250714;	123832;	1752476912.000;	       err32
20250714;	123836;	1752476916.000;	       err32
20250714;	123840;	1752476920.000;	       err32
20250714;	123844;	1752476924.000;	       err32
20250714;	123848;	1752476928.000;	       err32
20250714;	123852;	1752476932.000;	       err32
20250714;	123856;	1752476936.000;	       err32
20250714;	123900;	1752476940.000;	       err32
20250714;	123904;	1752476944.000;	       err32
20250714;	123908;	1752476948.000;	       err32
20250714;	123912;	1752476952.000;	       err32
20250714;	123916;	1752476956.000;	       err32
20250714;	123920;	1752476960.000;	       err32
20250714;	123924;	1752476964.000;	       err32
20250714;	123928;	1752476968.000;	       err32
20250714;	123932;	1752476972.000;	       err32
20250714;	123936;	1752476976.000;	       err32
20250714;	123940;	1752476980.000;	       err32
20250714;	123944;	1752476984.000;	       err32
20250714;	123948;	1752476988.000;	       err32
20250714;	123952;	1752476992.000;	       err32
20250714;	123956;	1752476996.000;	       err32
20250714;	124000;	1752477000.000;	       err32
20250714;	124004;	1752477004.000;	       err32
20250714;	124008;	1752477008.000;	       err32
20250714;	124012;	1752477012.000;	       err32
20250714;	124016;	1752477016.000;	       err32
20250714;	124020;	1752477020.000;	       err32
20250714;	124024;	1752477024.000;	       err32
20250714;	124028;	1752477028.000;	       err32
20250714;	124032;	1752477032.000;	       err32
20250714;	124036;	1752477036.000;	       err32
20250714;	124040;	1752477040.000;	       err32
20250714;	124044;	1752477044.000;	       err32
20250714;	124048;	1752477048.000;	       err32
20250714;	124052;	1752477052.000;	       err32
20250714;	124056;	1752477056.000;	       err32
20250714;	124100;	1752477060.000;	       err32
20250714;	124104;	1752477064.000;	       err32
20250714;	124108;	1752477068.000;	       err32
20250714;	124112;	1752477072.000;	       err32
20250714;	124116;	1752477076.000;	       err32
20250714;	124120;	1752477080.000;	       err32
20250714;	124124;	1752477084.000;	       err32
20250714;	124128;	1752477088.000;	       err32
20250714;	124132;	1752477092.000;	       err32
20250714;	124136;	1752477096.000;	       err32
20250714;	124140;	1752477100.000;	       err32
20250714;	124144;	1752477104.000;	       err32
20250714;	124148;	1752477108.000;	       err32
20250714;	124152;	1752477112.000;	       err32
20250714;	124156;	1752477116.000;	       err32
20250714;	124200;	1752477120.000;	       err32
20250714;	124204;	1752477124.000;	       err32
20250714;	124208;	1752477128.000;	       err32
20250714;	124212;	1752477132.000;	       err32
20250714;	124216;	1752477136.000;	       err32
20250714;	124220;	1752477140.000;	       err32
20250714;	124224;	1752477144.000;	       err32
20250714;	124228;	1752477148.000;	       err32
20250714;	124232;	1752477152.000;	       err32
20250714;	124236;	1752477156.000;	       err32
20250714;	124240;	1752477160.000;	       err32
20250714;	124244;	1752477164.000;	       err32
20250714;	124248;	1752477168.000;	       err32
20250714;	124252;	1752477172.000;	       err32
20250714;	124256;	1752477176.000;	       err32
20250714;	124300;	1752477180.000;	       err32
20250714;	124304;	1752477184.000;	       err32
20250714;	124308;	1752477188.000;	       err32
20250714;	124312;	1752477192.000;	       err32
20250714;	124316;	1752477196.000;	       err32
20250714;	124320;	1752477200.000;	       err32
20250714;	124324;	1752477204.000;	       err32
20250714;	124328;	1752477208.000;	       err32
20250714;	124332;	1752477212.000;	       err32
20250714;	124336;	1752477216.000;	       err32
20250714;	124340;	1752477220.000;	       err32
20250714;	124344;	1752477224.000;	       err32
